FROM,TO,TRIPS
Tyrone Square Area,Clearwater Dwntwn,10
Tyrone Square Area,Clearwater Mall,6
Tyrone Square Area,Countryside Mall,7
Tyrone Square Area,Dwntwn USF Albert Whitted Airport,517
Tyrone Square Area,External,167
Tyrone Square Area,Gateway Area,175
Tyrone Square Area,Grand Central Area,64
Tyrone Square Area,Hernando  Citrus,5
Tyrone Square Area,Hillsborough,499
Tyrone Square Area,Manatee Spur,7
Tyrone Square Area,Mid-Cnty Ind Area,269
Tyrone Square Area,Oldsmar Ind Area,0
Tyrone Square Area,Pasco,59
Tyrone Square Area,Pinellas Beaches,987
Tyrone Square Area,Pinellas Central,2700
Tyrone Square Area,Pinellas North,129
Tyrone Square Area,Pinellas North Central,273
Tyrone Square Area,Pinellas South,13893
Tyrone Square Area,St Petersburg Clearwater Area,3
Tyrone Square Area,Tarpon Springs Area,3
Tyrone Square Area,Tyrone Square Area,2080
