ZONE,MODE,TRIPS
598,SHUTTLE VANPOOL,272
598,TRANSIT,144
598,WALK,880
599,AUTO,933
599,WALK,55
600,AUTO,11486
600,BIKE,368
600,TNC,267
600,TRANSIT,3
600,WALK,5619
601,AUTO,8717
601,TNC,41
601,WALK,1293
602,AUTO,366
602,CAR SHARE,6
602,TRANSIT,135
602,WALK,5085
603,AUTO,2401
603,WALK,882
604,AUTO,662
604,WALK,3250
605,AUTO,1276
605,WALK,744
606,AUTO,4035
607,AUTO,418
607,BIKE,6
607,TNC,6
607,WALK,309
608,AUTO,4315
608,WALK,78
609,AUTO,2378
609,WALK,672
610,AUTO,2555
611,AUTO,1384
611,WALK,540
612,AUTO,1241
612,WALK,103
613,AUTO,5574
613,BIKE,6
613,CAR SHARE,37
613,WALK,124
614,AUTO,3854
614,TRANSIT,528
615,AUTO,1311
616,AUTO,1780
616,TNC,41
617,AUTO,804
618,AUTO,18748
618,TRANSIT,724
618,WALK,139
619,AUTO,4200
619,BIKE,160
619,WALK,844
620,AUTO,1922
620,WALK,297
621,AUTO,225
621,BIKE,139
621,WALK,1065
622,AUTO,17137
622,TRANSIT,119
622,WALK,721
623,AUTO,4541
623,TRANSIT,156
623,WALK,609
624,AUTO,4607
624,TRANSIT,6
624,WALK,626
625,AUTO,32
625,TNC,5
625,WALK,303
626,AUTO,3160
626,TNC,1593
626,WALK,640
627,AUTO,8373
627,TRANSIT,172
627,WALK,1864
628,AUTO,6
628,BIKE,6
628,WALK,25
629,AUTO,1182
629,WALK,1789
630,AUTO,1838
630,WALK,1379
631,AUTO,1338
631,TNC,167
631,TRANSIT,18
631,WALK,3357
632,AUTO,684
633,AUTO,2573
634,AUTO,5228
634,WALK,472
635,AUTO,15025
635,CAR SHARE,18
635,WALK,152
636,AUTO,1554
637,AUTO,9438
637,TNC,206
637,WALK,2985
638,AUTO,590
638,WALK,78
639,AUTO,240
639,CAR SHARE,116
639,LONG DIST PASS,3854
639,SHUTTLE VANPOOL,6
639,TRANSIT,52
639,WALK,184
640,AUTO,194
641,AUTO,5115
641,TNC,63
641,TRANSIT,53
641,WALK,3456
642,AUTO,894
643,AUTO,206
644,AUTO,5120
644,TNC,12
644,TRANSIT,53
644,WALK,415
645,AUTO,1557
645,TRANSIT,18
645,WALK,308
646,AUTO,19750
646,BIKE,420
646,LONG DIST PASS,9636
646,SHUTTLE VANPOOL,150
646,WALK,2460
647,AUTO,3578
647,WALK,431
648,AUTO,2682
648,BIKE,3231
648,WALK,1462
649,AUTO,7719
649,BIKE,1493
649,WALK,1027
650,AUTO,3210
650,SCHOOL BUS,80
650,WALK,209
651,AUTO,759
652,AUTO,8
653,AUTO,37
654,AUTO,32
655,AUTO,1015
656,AUTO,483
656,TNC,140
657,AUTO,1883
657,TRANSIT,538
658,AUTO,13119
659,AUTO,272
659,TRANSIT,523
660,AUTO,1156
663,AUTO,999
664,AUTO,615
665,AUTO,1610
665,WALK,197
666,AUTO,563
666,TNC,56
667,AUTO,240
668,AUTO,4106
668,TRANSIT,150
669,AUTO,8832
669,WALK,3106
670,AUTO,92
671,AUTO,1443
672,AUTO,243
673,AUTO,139
674,AUTO,1185
675,AUTO,12783
676,AUTO,15350
676,BIKE,32
676,WALK,74
677,AUTO,401
678,AUTO,180
679,AUTO,11513
680,AUTO,296
680,WALK,158
681,AUTO,30687
682,AUTO,3684
683,AUTO,783
684,AUTO,19500
684,SHUTTLE VANPOOL,99
685,AUTO,108
687,AUTO,150
688,AUTO,118
688,TRANSIT,63
689,AUTO,7811
690,AUTO,7542
690,WALK,3173
691,AUTO,3913
692,AUTO,896
692,WALK,231
693,AUTO,7744
693,SCHOOL BUS,160
694,AUTO,30031
694,SCHOOL BUS,1874
695,AUTO,1904
696,AUTO,3597
696,WALK,155
697,AUTO,1633
698,AUTO,9953
699,AUTO,9438
699,WALK,71
700,AUTO,602
701,AUTO,22889
702,AUTO,13798
703,AUTO,7202
704,AUTO,5131
704,WALK,24
705,AUTO,5026
705,WALK,63
706,AUTO,504
707,AUTO,1034
708,AUTO,6545
708,WALK,3
709,AUTO,4212
710,AUTO,2412
710,OTHER,80
711,AUTO,18910
712,AUTO,14051
712,OTHER,19
712,WALK,1698
713,AUTO,4594
713,SCHOOL BUS,79
713,WALK,100
714,AUTO,10166
715,AUTO,9736
716,AUTO,720
717,AUTO,18
718,AUTO,45
719,AUTO,6843
719,WALK,428
720,AUTO,17187
721,AUTO,109
722,AUTO,15810
722,TRANSIT,63
723,AUTO,13893
723,WALK,200
724,AUTO,11311
724,WALK,38
725,AUTO,5390
725,SCHOOL BUS,1874
726,AUTO,15895
726,WALK,2587
727,AUTO,10275
728,AUTO,3488
728,WALK,353
729,AUTO,109
730,AUTO,139
731,AUTO,472
732,AUTO,5886
732,WALK,1168
733,AUTO,12877
733,WALK,597
734,AUTO,11171
734,TNC,99
734,TRANSIT,79
734,WALK,897
735,AUTO,21893
735,WALK,43
736,AUTO,9665
737,AUTO,4927
737,WALK,428
738,AUTO,10232
739,AUTO,8643
740,AUTO,11014
741,AUTO,14371
741,TRANSIT,3
741,WALK,1186
742,AUTO,839
742,BIKE,232
742,WALK,116
743,AUTO,19086
743,BIKE,232
744,AUTO,38833
744,OTHER,418
744,WALK,239
745,AUTO,2074
745,WALK,116
746,AUTO,1078
747,AUTO,46
748,AUTO,5579
749,AUTO,13554
750,AUTO,11395
750,WALK,116
751,AUTO,348
752,AUTO,586
752,WALK,517
753,AUTO,394
754,AUTO,25475
754,TRANSIT,1872
754,WALK,353
757,SHUTTLE VANPOOL,1
758,AUTO,33
760,AUTO,5663
760,TRANSIT,359
760,WALK,205
761,AUTO,14981
761,TRANSIT,79
761,WALK,2483
762,AUTO,7041
763,AUTO,10951
763,SCHOOL BUS,625
763,WALK,3105
764,AUTO,1450
764,WALK,701
765,AUTO,6023
766,AUTO,42917
766,SCHOOL BUS,114
766,WALK,985
767,AUTO,11153
767,SCHOOL BUS,114
767,WALK,161
768,AUTO,6859
769,AUTO,797
770,AUTO,26690
770,TNC,98
770,WALK,120
771,AUTO,5742
771,WALK,100
772,AUTO,8601
772,TRANSIT,57
772,WALK,153
773,AUTO,41134
773,SCHOOL BUS,710
773,TAXI NOT TNC,150
773,WALK,22863
774,AUTO,4822
775,AUTO,14786
775,TRANSIT,1872
775,WALK,3744
778,AUTO,336
779,AUTO,336
780,AUTO,1069
780,WALK,329
781,AUTO,19773
781,TAXI NOT TNC,116
781,WALK,127
783,AUTO,3018
785,AUTO,2075
786,AUTO,6086
786,BIKE,357
786,SHUTTLE VANPOOL,5773
787,AUTO,7578
788,AUTO,165
789,AUTO,4743
791,AUTO,7103
791,BIKE,357
791,WALK,99
792,AUTO,6192
792,WALK,116
793,AUTO,32584
793,SCHOOL BUS,1876
793,SHUTTLE VANPOOL,1924
793,WALK,3751
794,AUTO,3081
