FROM,TO,TRIPS
TPA  Anderson Rd,East Town,122
TPA  Anderson Rd,External,10874
TPA  Anderson Rd,Gibsonton,1326
TPA  Anderson Rd,Harney Canal,0
TPA  Anderson Rd,Hernando  Citrus,383
TPA  Anderson Rd,MacDill AFB,23
TPA  Anderson Rd,Manatee Spur,0
TPA  Anderson Rd,NE Hilsborough,1601
TPA  Anderson Rd,NW Hilsborough,53650
TPA  Anderson Rd,New Tampa,98
TPA  Anderson Rd,Pasco,6503
TPA  Anderson Rd,Pinellas,31972
TPA  Anderson Rd,Plant City Area,6
TPA  Anderson Rd,Port of Tampa  50th St Corridor,0
TPA  Anderson Rd,SE Hillsborough,3815
TPA  Anderson Rd,SW Hillsborough,14430
TPA  Anderson Rd,TPA  Anderson Rd,20078
TPA  Anderson Rd,Tampa Central,22851
TPA  Anderson Rd,USF  Hosp  Busch,2657
TPA  Anderson Rd,West Brandon,0
TPA  Anderson Rd,Westshore  Rocky Point,37813
Tampa Central,Apollo Beach  Ruskin,1473
Tampa Central,CZ2,1038
Tampa Central,CZ4,5496
Tampa Central,Citrus Park,465
Tampa Central,Downtown,41432
Tampa Central,East Town,9106
Tampa Central,External,8835
Tampa Central,Gibsonton,3027
Tampa Central,Harney Canal,3705
Tampa Central,Hernando  Citrus,447
Tampa Central,MacDill AFB,271
Tampa Central,Manatee Spur,0
Tampa Central,NE Hilsborough,37455
Tampa Central,NW Hilsborough,128679
Tampa Central,New Tampa,3619
Tampa Central,Pasco,25818
Tampa Central,Pinellas,36203
Tampa Central,Plant City Area,3160
Tampa Central,Port of Tampa  50th St Corridor,2458
Tampa Central,SE Hillsborough,14840
Tampa Central,SW Hillsborough,41783
Tampa Central,TPA  Anderson Rd,25763
Tampa Central,Tampa Central,540041
Tampa Central,USF  Hosp  Busch,82023
Tampa Central,West Brandon,15027
Tampa Central,Westshore  Rocky Point,20490
USF  Hosp  Busch,Apollo Beach  Ruskin,53
USF  Hosp  Busch,CZ2,99
USF  Hosp  Busch,CZ4,1802
USF  Hosp  Busch,Citrus Park,0
USF  Hosp  Busch,Downtown,4298
USF  Hosp  Busch,East Town,951
USF  Hosp  Busch,External,151
USF  Hosp  Busch,Gibsonton,98
USF  Hosp  Busch,Harney Canal,1600
USF  Hosp  Busch,Hernando  Citrus,3531
USF  Hosp  Busch,MacDill AFB,0
USF  Hosp  Busch,Manatee Spur,0
USF  Hosp  Busch,NE Hilsborough,19694
USF  Hosp  Busch,NW Hilsborough,10318
USF  Hosp  Busch,New Tampa,2290
USF  Hosp  Busch,Pasco,5101
USF  Hosp  Busch,Pinellas,9534
USF  Hosp  Busch,Plant City Area,0
USF  Hosp  Busch,Port of Tampa  50th St Corridor,0
USF  Hosp  Busch,SE Hillsborough,5934
USF  Hosp  Busch,SW Hillsborough,10337
USF  Hosp  Busch,TPA  Anderson Rd,113
USF  Hosp  Busch,Tampa Central,89696
USF  Hosp  Busch,USF  Hosp  Busch,153538
USF  Hosp  Busch,West Brandon,752
USF  Hosp  Busch,Westshore  Rocky Point,1066
West Brandon,Apollo Beach  Ruskin,2795
West Brandon,CZ2,933
West Brandon,CZ4,3183
West Brandon,Citrus Park,0
West Brandon,Downtown,727
West Brandon,East Town,8518
West Brandon,External,437
West Brandon,Gibsonton,13419
West Brandon,Harney Canal,1246
West Brandon,Hernando  Citrus,0
West Brandon,MacDill AFB,1640
West Brandon,Manatee Spur,0
West Brandon,NE Hilsborough,14613
West Brandon,NW Hilsborough,852
West Brandon,New Tampa,0
West Brandon,Pasco,1234
West Brandon,Pinellas,1414
West Brandon,Plant City Area,0
West Brandon,Port of Tampa  50th St Corridor,230
West Brandon,SE Hillsborough,59421
West Brandon,SW Hillsborough,1879
West Brandon,TPA  Anderson Rd,38
West Brandon,Tampa Central,6595
West Brandon,USF  Hosp  Busch,360
West Brandon,West Brandon,25772
West Brandon,Westshore  Rocky Point,3646
Westshore  Rocky Point,Apollo Beach  Ruskin,158
Westshore  Rocky Point,CZ2,184
Westshore  Rocky Point,CZ4,1381
Westshore  Rocky Point,Citrus Park,1504
Westshore  Rocky Point,Downtown,14119
Westshore  Rocky Point,East Town,1564
Westshore  Rocky Point,External,1107
Westshore  Rocky Point,Gibsonton,1031
Westshore  Rocky Point,Harney Canal,252
Westshore  Rocky Point,Hernando  Citrus,749
Westshore  Rocky Point,MacDill AFB,9
Westshore  Rocky Point,Manatee Spur,0
Westshore  Rocky Point,NE Hilsborough,191
Westshore  Rocky Point,NW Hilsborough,17997
Westshore  Rocky Point,New Tampa,1900
Westshore  Rocky Point,Pasco,12171
Westshore  Rocky Point,Pinellas,15675
Westshore  Rocky Point,Plant City Area,0
Westshore  Rocky Point,Port of Tampa  50th St Corridor,1444
Westshore  Rocky Point,SE Hillsborough,8001
Westshore  Rocky Point,SW Hillsborough,17587
Westshore  Rocky Point,TPA  Anderson Rd,23547
Westshore  Rocky Point,Tampa Central,19902
Westshore  Rocky Point,USF  Hosp  Busch,245
Westshore  Rocky Point,West Brandon,2816
Westshore  Rocky Point,Westshore  Rocky Point,43856
