ROUTE_SURVEYED,TIME_ON,COUNT,CHART_TYPE
MARTA 117,AM5 8:00 am - 9:00 am,106.77,ROUTE SURVEYED BY TIME PERIOD
MARTA 15,PM6 8:00 pm - 9:00 pm,106.75,ROUTE SURVEYED BY TIME PERIOD
MARTA 95,MID5 1:00 pm - 2:00 pm,106.28,ROUTE SURVEYED BY TIME PERIOD
MARTA 95,MID4 12:00 noon - 1:00 pm,105.93,ROUTE SURVEYED BY TIME PERIOD
MARTA 110,PM6 8:00 pm - 9:00 pm,105.87,ROUTE SURVEYED BY TIME PERIOD
MARTA 84,MID2 10:00 am - 11:00 am,105.85,ROUTE SURVEYED BY TIME PERIOD
MARTA 71,AM4 7:00 am - 8:00 am,105.84,ROUTE SURVEYED BY TIME PERIOD
MARTA 89,MID1 9:00 am - 10:00 am,105.24,ROUTE SURVEYED BY TIME PERIOD
MARTA 107,PM3 5:00 pm - 6:00 pm,105.24,ROUTE SURVEYED BY TIME PERIOD
MARTA 115,PM4 6:00 pm - 7:00 pm,105.09,ROUTE SURVEYED BY TIME PERIOD
MARTA 15,PM3 5:00 pm - 6:00 pm,105.05,ROUTE SURVEYED BY TIME PERIOD
SRTA 411,PM3 5:00 pm - 6:00 pm,104.85,ROUTE SURVEYED BY TIME PERIOD
MARTA 15,PM2 4:00 pm - 5:00 pm,104.02,ROUTE SURVEYED BY TIME PERIOD
GWINNETT TRANSIT 20,AM4 7:00 am - 8:00 am,103.99,ROUTE SURVEYED BY TIME PERIOD
Atlanta Heavy Rail,PM9 11:00 pm and later,103.96,ROUTE SURVEYED BY TIME PERIOD
MARTA 89,PM2 4:00 pm - 5:00 pm,103.95,ROUTE SURVEYED BY TIME PERIOD
MARTA 5,MID6 2:00 pm - 3:00 pm,103.93,ROUTE SURVEYED BY TIME PERIOD
MARTA 107,PM4 6:00 pm - 7:00 pm,103.88,ROUTE SURVEYED BY TIME PERIOD
MARTA 84,AM4 7:00 am - 8:00 am,103.72,ROUTE SURVEYED BY TIME PERIOD
MARTA 95,AM5 8:00 am - 9:00 am,103.57,ROUTE SURVEYED BY TIME PERIOD
MARTA 51,PM3 5:00 pm - 6:00 pm,103.23,ROUTE SURVEYED BY TIME PERIOD
MARTA 82,PM4 6:00 pm - 7:00 pm,102.99,ROUTE SURVEYED BY TIME PERIOD
MARTA 15,AM5 8:00 am - 9:00 am,102.91,ROUTE SURVEYED BY TIME PERIOD
MARTA 87,MID6 2:00 pm - 3:00 pm,102.79,ROUTE SURVEYED BY TIME PERIOD
MARTA 111,PM2 4:00 pm - 5:00 pm,102.69,ROUTE SURVEYED BY TIME PERIOD
MARTA 71,MID3 11:00 am - 12:00 noon,102.64,ROUTE SURVEYED BY TIME PERIOD
MARTA 21,PM2 4:00 pm - 5:00 pm,102.58,ROUTE SURVEYED BY TIME PERIOD
